"","Indice","YearFixed","MonthFixed","SpeciesFixed","DateFormated","WeekDayNumber","HemisphereFixed","AgeFixed","Sex","ActivityFixed","CountryFixed","ContinentFixed","Area","LargoMetrosFixed","LargoEstandarizado","FatalFixed"
"700",734,"2012","10","SPECIE_UNKNOWN","2012/10/11",5,"North",38,"F","BATHING","NIGERIA","AFRICA","Delta",NA,"N/A",0
"701",735,"2012","10","SPECIE_UNKNOWN","2012/10/10",4,"North",42,"M","SURFING","USA","NORTH_AMERICA","California",NA,"N/A",0
"702",736,"2012","10","SPECIE_UNKNOWN","2012/10/02",3,"South",11,"M","ACTIVITY_UNKNOWN","AUSTRALIA","OCEANIA","Western Australia",2,"LARGO_1_2",0
"703",737,"2012","09","SPECIE_UNKNOWN","2012/09/25",3,"North",21,"M","SURFING","USA","NORTH_AMERICA","Florida",1.524,"LARGO_1_2",0
"704",738,"2012","09","SPECIE_UNKNOWN","2012/09/24",2,"North",22,"M","SURFING","USA","NORTH_AMERICA","Florida",1.2192,"LARGO_1_2",0
"705",739,"2012","09","SPECIE_UNKNOWN","2012/09/16",1,"North",52,"M","SURFING","USA","NORTH_AMERICA","Florida",NA,"N/A",0
"706",740,"2012","09","BULL_SHARK","2012/09/10",2,"South",29,"F","SWIMMING","TONGA","OCEANIA","Vava'u",3,"LARGO_2_3",0
"707",741,"2012","09","SPECIE_UNKNOWN","2012/09/09",1,"North",19,"","SURFING","USA","NORTH_AMERICA","Florida",NA,"N/A",0
"708",742,"2012","09","SPECIE_UNKNOWN","2012/09/08",7,"North",25,"M","SURFING","USA","NORTH_AMERICA","Florida",NA,"N/A",0
"709",743,"2012","09","SPECIE_UNKNOWN","2012/09/08",7,"North",-1,"M","SWIMMING","USA","NORTH_AMERICA","Florida",NA,"N/A",0
"710",744,"2012","09","SPECIE_UNKNOWN","2012/09/06",5,"North",30,"M","SURFING","USA","NORTH_AMERICA","Florida",NA,"N/A",0
"711",745,"2012","09","SPECIE_UNKNOWN","2012/09/06",5,"North",37,"M","SURFING","USA","NORTH_AMERICA","Florida",NA,"N/A",0
"712",746,"2012","09","SPECIE_UNKNOWN","2012/09/04",3,"North",32,"M","SURFING","USA","NORTH_AMERICA","Florida",NA,"N/A",0
"713",747,"2012","09","SPECIE_UNKNOWN","2012/09/02",1,"North",8,"F","ACTIVITY_UNKNOWN","USA","NORTH_AMERICA","Florida",1.524,"LARGO_1_2",0
"714",748,"2012","09","TIGER_SHARK","2012/09/02",1,"North",-1,"","FISHING","USA","NORTH_AMERICA","Hawaii",3.048,"LARGO_3_4",0
"715",749,"2012","09","SPECIE_UNKNOWN","2012/09/02",1,"North",56,"F","SWIMMING","USA","NORTH_AMERICA","Florida",1.524,"LARGO_1_2",0
"716",750,"2012","08","PORBEAGLE_SHARK","2012/08/31",6,"North",53,"M","FISHING","SCOTLAND","EUROPE","Inner Hebrides",2.1336,"LARGO_2_3",0
"717",751,"2012","08","SPECIE_UNKNOWN","2012/08/28",3,"South",34,"M","SURFING","AUSTRALIA","OCEANIA","Western Australia",NA,"N/A",0
"718",752,"2012","08","SPECIE_UNKNOWN","2012/08/26",1,"South",18,"M","SWIMMING","BRAZIL","SOUTH_AMERICA","Pernambuco",NA,"N/A",1
"719",753,"2012","08","SPECIE_UNKNOWN","2012/08/15",4,"North",31,"M","SWIMMING","USA","NORTH_AMERICA","Alabama",NA,"N/A",0
"720",754,"2012","08","SPECIE_UNKNOWN","2012/08/11",7,"South",-1,"","FISHING","AUSTRALIA","OCEANIA","Western Australia",4.5,"LARGO_4_5",0
"721",755,"2012","08","LEMON_SHARK","2012/08/08",4,"North",56,"M","DIVING","USA","NORTH_AMERICA","Florida",1.2192,"LARGO_1_2",0
"722",756,"2012","08","BULL_SHARK","2012/08/06",2,"South",39,"M","SURFING","REUNION_ISLAND","AFRICA","Saint Leu",NA,"N/A",0
"723",757,"2012","08","LEMON_SHARK","2012/08/04",7,"South",-1,"M","FISHING","FRENCH_POLYNESIA","OCEANIA","Tuamotus",2.5,"LARGO_2_3",0
"724",758,"2012","07","SPECIE_UNKNOWN","2012/07/31",3,"North",17,"M","SURFING","USA","NORTH_AMERICA","California",NA,"N/A",0
"725",759,"2012","07","WHITE_SHARK","2012/07/31",3,"South",48,"M","SURFING","AUSTRALIA","OCEANIA","South Australia",NA,"N/A",0
"726",760,"2012","07","SPECIE_UNKNOWN","2012/07/30",2,"North",44,"M","SURFING","USA","NORTH_AMERICA","Hawaii",NA,"N/A",0
"727",761,"2012","07","WHITE_SHARK","2012/07/30",2,"North",50,"M","SURFING","USA","NORTH_AMERICA","Massachusetts",NA,"N/A",0
"728",763,"2012","07","SPECIE_UNKNOWN","2012/07/23",2,"South",22,"M","SURFING","REUNION_ISLAND","AFRICA","Trois-Bassins",NA,"N/A",1
"729",766,"2012","07","WHITE_SHARK","2012/07/14",7,"South",24,"M","SURFING","AUSTRALIA","OCEANIA","Western Australia",5,"LARGO_4_5",1
"730",767,"2012","07","SPECIE_UNKNOWN","2012/07/08",1,"North",43,"F","SWIMMING","USA","NORTH_AMERICA","North Carolina",NA,"N/A",0
"731",768,"2012","07","SPECIE_UNKNOWN","2012/07/07",7,"North",-1,"M","FISHING","BAHAMAS","NORTH_AMERICA","Eleuthera",NA,"N/A",0
"732",769,"2012","07","SPECIE_UNKNOWN","2012/07/07",7,"South",42,"F","DIVING","AUSTRALIA","OCEANIA","Victoria",NA,"N/A",1
"733",770,"2012","07","SPECIE_UNKNOWN","2012/07/07",7,"North",52,"M","KAYAKING","USA","NORTH_AMERICA","California",4.2672,"LARGO_4_5",0
"734",771,"2012","07","SPECIE_UNKNOWN","2012/07/06",6,"South",29,"M","SURFING","SOUTH_AFRICA","AFRICA","Western Cape Province",4.572,"LARGO_4_5",0
"735",773,"2012","06","BULL_SHARK","2012/06/26",3,"North",6,"M","SWIMMING","USA","NORTH_AMERICA","Florida",NA,"N/A",0
"736",774,"2012","06","SPECIE_UNKNOWN","2012/06/26",3,"North",26,"M","SURFING","USA","NORTH_AMERICA","Florida",NA,"N/A",0
"737",775,"2012","06","REEF_SHARK","2012/06/26",3,"North",16,"F","ACTIVITY_UNKNOWN","USA","NORTH_AMERICA","Hawaii",NA,"N/A",0
"738",776,"2012","06","SPECIE_UNKNOWN","2012/06/22",6,"South",-1,"M","SURFING","AUSTRALIA","OCEANIA","Tasmania",NA,"N/A",0
"739",777,"2012","06","SPECIE_UNKNOWN","2012/06/22",6,"North",12,"M","SWIMMING","USA","NORTH_AMERICA","Florida",NA,"N/A",0
"740",778,"2012","06","SPECIE_UNKNOWN","2012/06/20",4,"South",62,"M","ACTIVITY_UNKNOWN","AUSTRALIA","OCEANIA","Western Australia",3,"LARGO_2_3",0
"741",780,"2012","06","SPECIE_UNKNOWN","2012/06/18",2,"North",6,"F","WADING","USA","NORTH_AMERICA","North Carolina",NA,"N/A",0
"742",781,"2012","06","NURSE_SHARK","2012/06/15",6,"North",23,"M","FISHING","USA","NORTH_AMERICA","Florida",NA,"N/A",0
"743",782,"2012","06","BLACKTIP_SHARK","2012/06/14",5,"North",18,"F","SWIMMING","USA","NORTH_AMERICA","South Carolina",NA,"N/A",0
"744",783,"2012","06","SPECIE_UNKNOWN","2012/06/14",5,"North",-1,"M","SWIMMING","USA","NORTH_AMERICA","South Carolina",NA,"N/A",0
"745",784,"2012","06","BLACKTIP_SHARK","2012/06/14",5,"North",-1,"M","SWIMMING","USA","NORTH_AMERICA","South Carolina",NA,"N/A",0
"746",785,"2012","06","BLACKTIP_SHARK","2012/06/14",5,"North",16,"M","SWIMMING","USA","NORTH_AMERICA","South Carolina",NA,"N/A",0
"747",786,"2012","06","SPECIE_UNKNOWN","2012/06/12",3,"South",42,"M","SURFING","AUSTRALIA","OCEANIA","Victoria",1.5,"LARGO_1_2",0
"748",788,"2012","06","WHITE_SHARK","2012/06/03",1,"South",30,"M","ACTIVITY_UNKNOWN","AUSTRALIA","OCEANIA","New South Wales",2,"LARGO_1_2",0
"749",789,"2012","06","SPECIE_UNKNOWN","2012/06/02",7,"North",12,"F","SURFING","USA","NORTH_AMERICA","Florida",NA,"N/A",0
"750",790,"2012","06","SPECIE_UNKNOWN","2012/06/02",7,"North",25,"M","ACTIVITY_UNKNOWN","USA","NORTH_AMERICA","South Carolina",NA,"N/A",0
"751",791,"2012","05","SPECIE_UNKNOWN","2012/05/31",5,"North",33,"F","WADING","USA","NORTH_AMERICA","North Carolina",NA,"N/A",0
"752",792,"2012","05","BULL_SHARK","2012/05/29",3,"North",46,"M","FISHING","MEXICO","NORTH_AMERICA","Guerrero",3,"LARGO_2_3",0
"753",793,"2012","05","SPECIE_UNKNOWN","2012/05/23",4,"North",22,"M","SURFING","USA","NORTH_AMERICA","Florida",1.2192,"LARGO_1_2",0
"754",794,"2012","05","TIGER_SHARK","2012/05/20",1,"North",-1,"M","FISHING","USA","NORTH_AMERICA","Hawaii",2.4384,"LARGO_2_3",0
"755",795,"2012","05","SPECIE_UNKNOWN","2012/05/16",4,"South",20,"M","FISHING","FIJI","OCEANIA","",NA,"N/A",0
"756",796,"2012","05","WHITE_SHARK","2012/05/12",7,"North",30,"M","FISHING","USA","NORTH_AMERICA","California",NA,"N/A",0
"757",797,"2012","05","SPECIE_UNKNOWN","2012/05/09",4,"North",47,"F","SWIMMING","USA","NORTH_AMERICA","Florida",NA,"N/A",0
"758",798,"2012","05","WHITE_SHARK","2012/05/06",1,"North",15,"F","ACTIVITY_UNKNOWN","USA","NORTH_AMERICA","California",NA,"N/A",0
"759",799,"2012","04","SPECIE_UNKNOWN","2012/04/19",5,"North",28,"M","SURFING","USA","NORTH_AMERICA","Florida",1.524,"LARGO_1_2",0
"760",800,"2012","04","WHITE_SHARK","2012/04/19",5,"South",20,"M","ACTIVITY_UNKNOWN","SOUTH_AFRICA","AFRICA","Western Cape Province",4,"LARGO_3_4",1
"761",801,"2012","04","WHITE_SHARK","2012/04/11",4,"South",27,"M","KAYAKING","AUSTRALIA","OCEANIA","South Australia",6,"LARGO_5_6",0
"762",802,"2012","04","TIGER_SHARK","2012/04/03",3,"North",28,"M","SURFING","USA","NORTH_AMERICA","Hawaii",3.048,"LARGO_3_4",0
"763",803,"2012","04","SPECIE_UNKNOWN","",99,"North",-1,"M","ACTIVITY_UNKNOWN","USA","NORTH_AMERICA","Florida",NA,"N/A",0
