"","Indice","YearFixed","MonthFixed","SpeciesFixed","DateFormated","WeekDayNumber","HemisphereFixed","AgeFixed","Sex","ActivityFixed","CountryFixed","ContinentFixed","Area","LargoMetrosFixed","LargoEstandarizado","FatalFixed"
"2608",2731,"1988","06","SAND_SHARK","1988/06/09",5,"North",37,"M","ACTIVITY_UNKNOWN","USA","NORTH_AMERICA","South Carolina",NA,"N/A",0
"2609",2732,"1988","06","SPECIE_UNKNOWN","1988/06/05",1,"North",12,"M","SWIMMING","USA","NORTH_AMERICA","Florida",NA,"N/A",0
"2610",2733,"1988","06","SPECIE_UNKNOWN","1988/06/01",4,"North",25,"M","SURFING","USA","NORTH_AMERICA","Florida",1.8,"LARGO_1_2",0
"2611",2734,"1988","05","SPECIE_UNKNOWN","1988/05/27",6,"North",38,"F","DIVING","SOUTH_KOREA","ASIA","",NA,"N/A",1
"2612",2735,"1988","05","SPECIE_UNKNOWN","1988/05/10",3,"North",31,"M","SURFING","USA","NORTH_AMERICA","Florida",NA,"N/A",0
"2613",2736,"1988","05","SPECIE_UNKNOWN","1988/05/04",4,"North",29,"M","SURFING","USA","NORTH_AMERICA","Florida",NA,"N/A",0
"2614",2737,"1988","04","SPECIE_UNKNOWN","1988/04/28",5,"South",-1,"M","ACTIVITY_UNKNOWN","REUNION_ISLAND","AFRICA","Saint-Louis",NA,"N/A",1
"2615",2738,"1988","04","WHITE_SHARK","1988/04/24",1,"North",-1,"M","SURFING","USA","NORTH_AMERICA","California",NA,"N/A",0
"2616",2739,"1988","04","SPECIE_UNKNOWN","1988/04/15",6,"North",24,"M","SWIMMING","USA","NORTH_AMERICA","Florida",NA,"N/A",0
"2617",2740,"1988","04","SPECIE_UNKNOWN","1988/04/15",6,"North",-1,"M","BOATING","USA","NORTH_AMERICA","Hawaii",NA,"N/A",1
"2618",2741,"1988","04","SPECIE_UNKNOWN","1988/04/14",5,"North",14,"M","SURFING","USA","NORTH_AMERICA","Florida",NA,"N/A",0
"2619",2742,"1988","04","SPECIE_UNKNOWN","1988/04/14",5,"North",-1,"M","SURFING","USA","NORTH_AMERICA","Florida",NA,"N/A",0
"2620",2743,"1988","04","SPECIE_UNKNOWN","1988/04/10",1,"South",-1,"F","ACTIVITY_UNKNOWN","SOUTH_AFRICA","AFRICA","KwaZulu-Natal",NA,"N/A",1
"2621",2744,"1988","03","SPECIE_UNKNOWN","1988/03/31",5,"North",30,"F","STANDING","USA","NORTH_AMERICA","Florida",NA,"N/A",0
"2622",2745,"1988","03","SPECIE_UNKNOWN","1988/03/25",6,"North",-1,"M","SURFING","USA","NORTH_AMERICA","Hawaii",NA,"N/A",0
"2623",2746,"1988","03","SPECIE_UNKNOWN","1988/03/16",4,"South",17,"M","SURFING","SOUTH_AFRICA","AFRICA","KwaZulu-Natal",1.5,"LARGO_1_2",0
"2624",2747,"1988","03","SPECIE_UNKNOWN","1988/03/14",2,"South",-1,"M","SURFING","REUNION_ISLAND","AFRICA","Saint-Pierre",NA,"N/A",0
"2625",2748,"1988","02","RAGGEDTOOTH_SHARK","1988/02/15",2,"South",-1,"","ACTIVITY_UNKNOWN","SOUTH_AFRICA","AFRICA","KwaZulu-Natal",2,"LARGO_1_2",0
"2626",2749,"1988","02","GREY_SHARK","1988/02/14",1,"South",20,"M","SURFING","SOUTH_AFRICA","AFRICA","Eastern Cape Province",1,"LARGO_0_1",0
"2627",2750,"1988","02","SPECIE_UNKNOWN","1988/02/13",7,"South",15,"F","ACTIVITY_UNKNOWN","SOUTH_AFRICA","AFRICA","KwaZulu-Natal",NA,"N/A",0
"2628",2751,"1988","02","MAKO_SHARK","1988/02/12",6,"South",-1,"","FISHING","AUSTRALIA","OCEANIA","Western Australia",3,"LARGO_2_3",0
"2629",2752,"1988","02","TIGER_SHARK","1988/02/02",3,"South",22,"M","DIVING","FIJI","OCEANIA","Vanua Levu",3,"LARGO_2_3",0
"2630",2753,"1988","01","SPECIE_UNKNOWN","1988/01/27",4,"South",22,"M","SURFING","SOUTH_AFRICA","AFRICA","KwaZulu-Natal",NA,"N/A",0
"2631",2754,"1988","01","SPECIE_UNKNOWN","1988/01/21",5,"South",-1,"M","FISHING","AUSTRALIA","OCEANIA","Torres Strait",NA,"N/A",1
"2632",2755,"1988","01","MAKO_SHARK","1988/01/14",5,"North",-1,"M","FISHING","USA","NORTH_AMERICA","Louisiana",NA,"N/A",0
"2633",2756,"1988","01","COPPER_SHARK","1988/01/06",4,"South",33,"M","ACTIVITY_UNKNOWN","SOUTH_AFRICA","AFRICA","Western Cape Province",1.5,"LARGO_1_2",0
"2634",2757,"1988","01","SPECIE_UNKNOWN","1988/01/05",3,"South",-1,"","ACTIVITY_UNKNOWN","SOUTH_AFRICA","AFRICA","Western Cape Province",6,"LARGO_5_6",0
"2635",2758,"1988","00","WOBBEGONG_SHARK","",99,"South",12,"M","SURFING","AUSTRALIA","OCEANIA","New South Wales",NA,"N/A",0
"2636",2759,"1987","12","SPECIE_UNKNOWN","1987/12/20",1,"North",-1,"","BOATING","PHILIPPINES","ASIA","Mindoro",NA,"N/A",1
"2637",2760,"1987","12","BLACKTIP_SHARK","1987/12/17",5,"North",16,"M","SURFING","USA","NORTH_AMERICA","Florida",1.8,"LARGO_1_2",0
"2638",2761,"1987","12","SPECIE_UNKNOWN","1987/12/13",1,"South",1618,"F","ACTIVITY_UNKNOWN","AUSTRALIA","OCEANIA","New South Wales",NA,"N/A",1
"2639",2762,"1987","11","SPECIE_UNKNOWN","1987/11/21",7,"North",15,"M","SURFING","USA","NORTH_AMERICA","Florida",NA,"N/A",0
"2640",2764,"1987","10","SPECIE_UNKNOWN","1987/10/26",2,"North",20,"M","SURFING","USA","NORTH_AMERICA","California",2,"LARGO_1_2",0
"2641",2766,"1987","10","WHITE_SHARK","1987/10/11",1,"South",21,"M","FISHING","SOUTH_AFRICA","AFRICA","Western Cape Province",NA,"N/A",0
"2642",2767,"1987","10","SPECIE_UNKNOWN","1987/10/06",3,"North",-1,"","ACTIVITY_UNKNOWN","DOMINICAN_REPUBLIC","NORTH_AMERICA","Between DR and Puerto Rico",NA,"N/A",1
"2643",2768,"1987","09","WHITE_SHARK","1987/09/18",6,"South",47,"M","DIVING","AUSTRALIA","OCEANIA","South Australia",NA,"N/A",1
"2644",2769,"1987","09","WHITE_SHARK","1987/09/13",1,"South",24,"M","SURFING","SOUTH_AFRICA","AFRICA","Western Cape Province",3.5,"LARGO_3_4",0
"2645",2770,"1987","08","SPECIE_UNKNOWN","1987/08/20",5,"North",12,"M","WADING","USA","NORTH_AMERICA","Florida",1.2,"LARGO_1_2",0
"2646",2771,"1987","08","WHITE_SHARK","1987/08/15",7,"North",40,"M","SURFING","USA","NORTH_AMERICA","California",5.7,"LARGO_5_6",0
"2647",2772,"1987","07","SPECIE_UNKNOWN","1987/07/21",3,"North",27,"M","SURFING","USA","NORTH_AMERICA","Florida",0.9144,"LARGO_0_1",0
"2648",2773,"1987","07","SPECIE_UNKNOWN","1987/07/12",1,"North",32,"F","SURFING","USA","NORTH_AMERICA","Texas",1.2192,"LARGO_1_2",0
"2649",2774,"1987","07","SPECIE_UNKNOWN","1987/07/12",1,"North",16,"F","WADING","USA","NORTH_AMERICA","Texas",1.2192,"LARGO_1_2",0
"2650",2775,"1987","07","SPECIE_UNKNOWN","1987/07/11",7,"North",-1,"","ACTIVITY_UNKNOWN","USA","NORTH_AMERICA","South Carolina",3.6576,"LARGO_3_4",0
"2651",2776,"1987","07","SPECIE_UNKNOWN","1987/07/09",5,"North",35,"M","SNORKELING","BAHAMAS","NORTH_AMERICA","Exuma Islands",NA,"N/A",0
"2652",2777,"1987","07","SPECIE_UNKNOWN","",99,"North",-1,"M","FISHING","BAHAMAS","NORTH_AMERICA","",3,"LARGO_2_3",0
"2653",2778,"1987","06","BLACKTIP_SHARK","1987/06/13",7,"North",-1,"M","FISHING","USA","NORTH_AMERICA","Florida",1.5,"LARGO_1_2",0
"2654",2779,"1987","05","SPECIE_UNKNOWN","1987/05/25",2,"North",12,"M","ACTIVITY_UNKNOWN","USA","NORTH_AMERICA","South Carolina",1.5,"LARGO_1_2",0
"2655",2780,"1987","05","SPECIE_UNKNOWN","1987/05/08",6,"North",-1,"M","SURFING","USA","NORTH_AMERICA","Florida",NA,"N/A",0
"2656",2781,"1987","05","SPECIE_UNKNOWN","1987/05/06",4,"South",34,"M","FISHING","AUSTRALIA","OCEANIA","New South Wales",NA,"N/A",0
"2657",2783,"1987","04","SPECIE_UNKNOWN","1987/04/18",7,"North",16,"F","SWIMMING","USA","NORTH_AMERICA","Texas",NA,"N/A",0
"2658",2784,"1987","04","SPECIE_UNKNOWN","1987/04/15",4,"North",-1,"M","SWIMMING","USA","NORTH_AMERICA","Hawaii",NA,"N/A",1
"2659",2785,"1987","04","SPECIE_UNKNOWN","1987/04/01",4,"South",8,"M","SWIMMING","VANUATU","OCEANIA","Malampa Province",4.3,"LARGO_4_5",1
"2660",2786,"1987","03","COPPER_SHARK","1987/03/30",2,"South",18,"M","SURFING","AUSTRALIA","OCEANIA","Western Australia",2,"LARGO_1_2",0
"2661",2787,"1987","03","WHITE_SHARK","1987/03/30",2,"South",-1,"","ACTIVITY_UNKNOWN","SOUTH_AFRICA","AFRICA","Western Cape Province",3,"LARGO_2_3",0
"2662",2788,"1987","02","SPINNER_SHARK","1987/02/28",7,"North",-1,"M","SURFING","USA","NORTH_AMERICA","Florida",NA,"N/A",0
"2663",2789,"1987","02","SPECIE_UNKNOWN","1987/02/19",5,"South",-1,"","ACTIVITY_UNKNOWN","SOLOMON_ISLANDS","OCEANIA","Between Honiara & Isabel Island",NA,"N/A",1
"2664",2790,"1987","01","WHITE_SHARK","1987/01/28",4,"South",30,"M","FISHING","SOUTH_AFRICA","AFRICA","Eastern Cape Province",2.5,"LARGO_2_3",0
"2665",2791,"1987","01","SPECIE_UNKNOWN","1987/01/06",3,"South",37,"M","SWIMMING","AUSTRALIA","OCEANIA","Queensland",NA,"N/A",0
"2666",2792,"1987","00","SPECIE_UNKNOWN","",99,"North",-1,"M","ACTIVITY_UNKNOWN","MONTENEGRO","EUROPE","Adriatic Sea",NA,"N/A",1
"2667",2793,"1987","00","WHITE_SHARK","",99,"North",-1,"M","BOATING","ITALY","EUROPE","Tyrrhenian Sea",NA,"N/A",0
"2668",2794,"1986","12","RAGGEDTOOTH_SHARK","1986/12/31",4,"South",-1,"M","FISHING","SOUTH_AFRICA","AFRICA","Western Cape Province",2.5,"LARGO_2_3",0
"2669",2795,"1986","12","WHITE_SHARK","1986/12/22",2,"South",21,"M","ACTIVITY_UNKNOWN","SOUTH_AFRICA","AFRICA","Western Cape Province",3,"LARGO_2_3",1
"2670",2796,"1986","12","BLACKTIP_SHARK","1986/12/11",5,"North",40,"M","SURFING","USA","NORTH_AMERICA","Florida",1.8,"LARGO_1_2",0
"2671",2797,"1986","12","SPECIE_UNKNOWN","1986/12/06",7,"North",37,"M","ACTIVITY_UNKNOWN","BAHAMAS","NORTH_AMERICA","Florida Straits",NA,"N/A",0
"2672",2798,"1986","12","WHITE_SHARK","1986/12/06",7,"North",27,"M","FISHING","USA","NORTH_AMERICA","California",5,"LARGO_4_5",0
"2673",2799,"1986","12","SPECIE_UNKNOWN","1986/12/04",5,"South",22,"M","FISHING","SOUTH_AFRICA","AFRICA","Western Cape Province",NA,"N/A",0
"2674",2800,"1986","12","TIGER_SHARK","",99,"South",-1,"","FISHING","NEW_CALEDONIA","OCEANIA","",NA,"N/A",0
"2675",2801,"1986","11","SPECIE_UNKNOWN","1986/11/30",1,"North",17,"M","SURFING","USA","NORTH_AMERICA","Florida",NA,"N/A",0
"2676",2802,"1986","11","SPECIE_UNKNOWN","1986/11/19",4,"North",26,"M","SURFING","USA","NORTH_AMERICA","Florida",NA,"N/A",0
"2677",2803,"1986","11","SPECIE_UNKNOWN","1986/11/04",3,"North",23,"M","SURFING","USA","NORTH_AMERICA","Florida",NA,"N/A",0
"2678",2804,"1986","10","RAGGEDTOOTH_SHARK","1986/10/17",6,"South",-1,"M","ACTIVITY_UNKNOWN","SOUTH_AFRICA","AFRICA","KwaZulu-Natal",1.96,"LARGO_1_2",0
"2679",2805,"1986","10","LEMON_SHARK","1986/10/03",6,"North",6,"F","SWIMMING","USA","NORTH_AMERICA","Florida",1.8,"LARGO_1_2",0
"2680",2806,"1986","10","SPECIE_UNKNOWN","1986/10/05",1,"South",32,"M","ACTIVITY_UNKNOWN","SOUTH_AFRICA","AFRICA","KwaZulu-Natal",1.6,"LARGO_1_2",0
"2681",2808,"1986","10","BULL_SHARK","",99,"North",28,"M","SURFING","USA","NORTH_AMERICA","Florida",NA,"N/A",0
"2682",2809,"1986","09","SPECIE_UNKNOWN","1986/09/22",2,"North",-1,"","ACTIVITY_UNKNOWN","USA","NORTH_AMERICA","Florida",NA,"N/A",1
"2683",2810,"1986","09","SPECIE_UNKNOWN","",99,"North",-1,"","SURFING","USA","NORTH_AMERICA","Florida",NA,"N/A",0
"2684",2811,"1986","09","SPECIE_UNKNOWN","",99,"North",18,"","SURFING","USA","NORTH_AMERICA","Florida",NA,"N/A",0
"2685",2812,"1986","08","SPECIE_UNKNOWN","1986/08/19",3,"North",16,"","SURFING","USA","NORTH_AMERICA","North Carolina",NA,"N/A",0
"2686",2813,"1986","08","SPECIE_UNKNOWN","1986/08/10",1,"South",35,"M","FISHING","SOUTH_AFRICA","AFRICA","Western Cape Province",NA,"N/A",0
"2687",2814,"1986","08","WOBBEGONG_SHARK","1986/08/03",1,"South",-1,"F","DIVING","AUSTRALIA","OCEANIA","New South Wales",NA,"N/A",0
"2688",2815,"1986","08","SPECIE_UNKNOWN","",99,"North",-1,"","ACTIVITY_UNKNOWN","FRANCE","EUROPE","Gulf of Lyons",NA,"N/A",0
"2689",2816,"1986","07","WHITE_SHARK","1986/07/26",7,"South",-1,"","FISHING","AUSTRALIA","OCEANIA","Western Australia",6,"LARGO_5_6",0
"2690",2817,"1986","07","SPECIE_UNKNOWN","1986/07/09",4,"North",8,"M","ACTIVITY_UNKNOWN","USA","NORTH_AMERICA","South Carolina",1.5,"LARGO_1_2",0
"2691",2818,"1986","07","DUSKY_SHARK","",99,"South",26,"M","FISHING","SOUTH_AFRICA","AFRICA","KwaZulu-Natal",1.2,"LARGO_1_2",0
"2692",2819,"1986","05","WOBBEGONG_SHARK","1986/05/18",1,"South",-1,"M","DIVING","AUSTRALIA","OCEANIA","New South Wales",NA,"N/A",0
"2693",2820,"1986","05","SPECIE_UNKNOWN","1986/05/15",5,"North",-1,"M","DIVING","SOUTH_KOREA","ASIA","",NA,"N/A",1
"2694",2821,"1986","04","SPECIE_UNKNOWN","1986/04/20",1,"North",-1,"M","FISHING","USA","NORTH_AMERICA","Hawaii",NA,"N/A",1
"2695",2822,"1986","04","SPECIE_UNKNOWN","",99,"North",-1,"M","DIVING","SPAIN","EUROPE","Catalonia",2,"LARGO_1_2",0
"2696",2823,"1986","03","WHITE_SHARK","1986/03/18",3,"North",-1,"M","SURFING","SPAIN","EUROPE","Cádiz",3.5,"LARGO_3_4",0
"2697",2824,"1986","03","SPECIE_UNKNOWN","1986/03/15",7,"South",26,"M","ACTIVITY_UNKNOWN","SOUTH_AFRICA","AFRICA","KwaZulu-Natal",1,"LARGO_0_1",0
"2698",2825,"1986","03","SPECIE_UNKNOWN","1986/03/5",4,"South",23,"M","SURFING","SOUTH_AFRICA","AFRICA","Eastern Cape Province",2,"LARGO_1_2",0
"2699",2826,"1986","02","WHITE_SHARK","1986/02/18",3,"South",21,"M","SURFING","SOUTH_AFRICA","AFRICA","Eastern Cape Province",2.4,"LARGO_2_3",0
"2700",2827,"1986","02","SPECIE_UNKNOWN","1986/02/17",2,"South",-1,"M","SURFING","SOUTH_AFRICA","AFRICA","Eastern Cape Province",NA,"N/A",0
"2701",2828,"1986","02","RAGGEDTOOTH_SHARK","1986/02/07",6,"South",46,"M","SWIMMING","SOUTH_AFRICA","AFRICA","Eastern Cape Province",NA,"N/A",0
"2702",2829,"1986","02","RAGGEDTOOTH_SHARK","1986/02/06",5,"South",29,"M","FISHING","SOUTH_AFRICA","AFRICA","Western Cape Province",2,"LARGO_1_2",0
"2703",2830,"1986","02","COPPER_SHARK","1986/02/01",7,"South",29,"M","SURFING","AUSTRALIA","OCEANIA","Victoria",3.5,"LARGO_3_4",0
"2704",2831,"1986","01","BLACKTIP_SHARK","1986/01/12",1,"North",22,"M","SURFING","USA","NORTH_AMERICA","Florida",NA,"N/A",0
"2705",2832,"1986","00","SPECIE_UNKNOWN","",99,"North",16,"M","SURFING","USA","NORTH_AMERICA","California",1.5,"LARGO_1_2",0
"2706",2833,"1985","12","SPECIE_UNKNOWN","1985/12/22",1,"South",-1,"M","SURFING","SOUTH_AFRICA","AFRICA","KwaZulu-Natal",NA,"N/A",0
"2707",2834,"1985","12","TIGER_SHARK","1985/12/10",3,"North",-1,"M","ACTIVITY_UNKNOWN","USA","NORTH_AMERICA","North Carolina",NA,"N/A",0
"2708",2835,"1985","11","SPECIE_UNKNOWN","1985/11/11",2,"South",-1,"M","FISHING","AUSTRALIA","OCEANIA","Queensland",1,"LARGO_0_1",0
"2709",2836,"1985","11","WHITE_SHARK","1985/11/05",3,"North",-1,"","BOATING","USA","NORTH_AMERICA","California",5.8,"LARGO_5_6",0
"2710",2837,"1985","11","SPECIE_UNKNOWN","1985/11/03",1,"North",24,"M","FISHING","USA","NORTH_AMERICA","California",NA,"N/A",0
"2711",2838,"1985","10","WHITE_SHARK","1985/10/24",5,"South",22,"M","ACTIVITY_UNKNOWN","SOUTH_AFRICA","AFRICA","Eastern Cape Province",2.5,"LARGO_2_3",0
"2712",2839,"1985","10","SEVENHILL_SHARK","1985/10/22",3,"North",46,"M","DIVING","USA","NORTH_AMERICA","California",2,"LARGO_1_2",0
"2713",2840,"1985","10","TIGER_SHARK","1985/10/18",6,"North",33,"M","ACTIVITY_UNKNOWN","USA","NORTH_AMERICA","Hawaii",3.7,"LARGO_3_4",0
"2714",2841,"1985","10","SPECIE_UNKNOWN","1985/10/12",7,"North",24,"M","DIVING","USA","NORTH_AMERICA","Hawaii",1.8,"LARGO_1_2",0
"2715",2842,"1985","10","SPECIE_UNKNOWN","1985/10/05",7,"North",-1,"M","FISHING","USA","NORTH_AMERICA","Alabama",1.8288,"LARGO_1_2",0
"2716",2843,"1985","09","WHITE_SHARK","1985/09/28",7,"North",-1,"M","FISHING","USA","NORTH_AMERICA","California",4,"LARGO_3_4",0
"2717",2845,"1985","09","SILKY_SHARK","1985/09/08",1,"North",-1,"M","DIVING","USA","NORTH_AMERICA","Florida",1.8,"LARGO_1_2",0
"2718",2847,"1985","08","SPECIE_UNKNOWN","1985/08/22",5,"North",87,"M","WADING","USA","NORTH_AMERICA","South Carolina",NA,"N/A",0
"2719",2849,"1985","08","SPECIE_UNKNOWN","1985/08/17",7,"North",67,"M","DIVING","USA","NORTH_AMERICA","Florida",NA,"N/A",1
"2720",2850,"1985","07","HAMMERHEAD_SHARK","1985/07/25",5,"North",13,"F","WADING","USA","NORTH_AMERICA","Florida",NA,"N/A",0
"2721",2851,"1985","07","SPECIE_UNKNOWN","1985/07/25",5,"North",15,"M","SURFING","USA","NORTH_AMERICA","Florida",NA,"N/A",0
"2722",2852,"1985","07","WHITE_SHARK","1985/07/21",1,"North",-1,"","FISHING","USA","NORTH_AMERICA","California",5,"LARGO_4_5",0
"2723",2853,"1985","07","TIGER_SHARK","1985/07/19",6,"North",10,"F","ACTIVITY_UNKNOWN","USA","NORTH_AMERICA","South Carolina",2.4,"LARGO_2_3",0
"2724",2854,"1985","07","WHITE_SHARK","",99,"North",13,"M","SNORKELING","ITALY","EUROPE","Sicily",3,"LARGO_2_3",0
"2725",2855,"1985","05","SPECIE_UNKNOWN","1985/05/26",1,"North",-1,"M","SURFING","USA","NORTH_AMERICA","California",NA,"N/A",0
"2726",2856,"1985","05","SPECIE_UNKNOWN","1985/05/08",4,"South",39,"M","FISHING","SOUTH_AFRICA","AFRICA","KwaZulu-Natal",NA,"N/A",0
"2727",2857,"1985","03","SPECIE_UNKNOWN","1985/03/16",7,"North",25,"M","SURFING","USA","NORTH_AMERICA","Florida",NA,"N/A",0
"2728",2858,"1985","03","WHITE_SHARK","1985/03/03",1,"South",33,"F","DIVING","AUSTRALIA","OCEANIA","South Australia",6,"LARGO_5_6",1
"2729",2859,"1985","02","WHITE_SHARK","1985/02/18",2,"North",29,"M","DIVING","USA","NORTH_AMERICA","California",6,"LARGO_5_6",0
"2730",2860,"1985","02","SPECIE_UNKNOWN","1985/02/03",1,"North",16,"M","SURFING","USA","NORTH_AMERICA","Florida",NA,"N/A",0
"2731",2861,"1985","01","RAGGEDTOOTH_SHARK","1985/01/27",1,"South",15,"M","SWIMMING","SOUTH_AFRICA","AFRICA","Western Cape Province",NA,"N/A",0
"2732",2863,"1985","01","WHITE_SHARK","1985/01/17",5,"South",18,"M","SURFING","SOUTH_AFRICA","AFRICA","KwaZulu-Natal",3.5,"LARGO_3_4",0
"2733",2864,"1985","01","SPECIE_UNKNOWN","1985/01/16",4,"South",-1,"","ACTIVITY_UNKNOWN","NEW_ZEALAND","OCEANIA","South Island",6,"LARGO_5_6",0
"2734",2865,"1985","01","WHITE_SHARK","1985/01/04",6,"South",34,"M","FISHING","SOUTH_AFRICA","AFRICA","Western Cape Province",3.5,"LARGO_3_4",0
"2735",2866,"1985","01","TIGER_SHARK","",99,"South",-1,"","FISHING","NEW_CALEDONIA","OCEANIA","South Province",NA,"N/A",0
"2736",2867,"1985","01","DUSKY_SHARK","",99,"South",20,"M","FISHING","SOUTH_AFRICA","AFRICA","KwaZulu-Natal",1.5,"LARGO_1_2",0
"2737",2868,"1985","00","SPECIE_UNKNOWN","",99,"South",-1,"M","ACTIVITY_UNKNOWN","VANUATU","OCEANIA","Malampa Province",NA,"N/A",1
"2738",2869,"1985","00","BULL_SHARK","",99,"North",-1,"M","FISHING","IRAN","ASIA","",NA,"N/A",1
"2739",2870,"1984","12","WHITE_SHARK","1984/12/03",2,"North",-1,"","BOATING","ITALY","EUROPE","Tyrrhenian Sea",NA,"N/A",0
"2740",2871,"1984","11","TIGER_SHARK","1984/11/30",6,"South",16,"M","FELL_INTO_WATER","AUSTRALIA","OCEANIA","Queensland",4,"LARGO_3_4",1
"2741",2872,"1984","11","SPECIE_UNKNOWN","1984/11/11",1,"North",13,"M","SURFING","USA","NORTH_AMERICA","Florida",1.2,"LARGO_1_2",0
"2742",2873,"1984","11","SPECIE_UNKNOWN","1984/11/04",1,"North",29,"M","FISHING","USA","NORTH_AMERICA","Florida",NA,"N/A",0
"2743",2874,"1984","10","SPECIE_UNKNOWN","1984/10/21",1,"North",22,"M","SWIMMING","USA","NORTH_AMERICA","Florida",NA,"N/A",1
"2744",2875,"1984","10","SPECIE_UNKNOWN","1984/10/21",1,"North",23,"F","SURFING","USA","NORTH_AMERICA","Florida",1.5,"LARGO_1_2",0
"2745",2877,"1984","10","BLACKTIP_SHARK","1984/10/14",1,"North",15,"M","SURFING","USA","NORTH_AMERICA","Florida",1.2,"LARGO_1_2",0
"2746",2878,"1984","09","WHITE_SHARK","1984/09/30",1,"North",25,"M","SURFING","USA","NORTH_AMERICA","Oregon",3,"LARGO_2_3",0
"2747",2879,"1984","09","WHITE_SHARK","1984/09/30",1,"North",-1,"M","DIVING","USA","NORTH_AMERICA","California",3,"LARGO_2_3",0
"2748",2880,"1984","09","SPECIE_UNKNOWN","1984/09/23",1,"North",17,"M","SURFING","USA","NORTH_AMERICA","Florida",NA,"N/A",0
"2749",2881,"1984","09","SPECIE_UNKNOWN","1984/09/22",7,"North",-1,"M","SWIMMING","USA","NORTH_AMERICA","Florida",NA,"N/A",0
"2750",2882,"1984","09","HAMMERHEAD_SHARK","1984/09/22",7,"North",16,"M","SURFING","USA","NORTH_AMERICA","Florida",NA,"N/A",0
"2751",2884,"1984","09","BLUE_SHARK","1984/09/17",2,"North",-1,"M","WADING","USA","NORTH_AMERICA","California",NA,"N/A",0
"2752",2885,"1984","09","WHITE_SHARK","1984/09/15",7,"North",28,"M","DIVING","USA","NORTH_AMERICA","California",4.5,"LARGO_4_5",1
"2753",2886,"1984","09","WHITE_SHARK","1984/09/11",3,"North",-1,"M","FISHING","MEXICO","NORTH_AMERICA","Baja California",4.5,"LARGO_4_5",0
"2754",2887,"1984","08","SPECIE_UNKNOWN","1984/08/24",6,"North",31,"F","BOATING","USA","NORTH_AMERICA","Florida",NA,"N/A",1
"2755",2888,"1984","08","SPECIE_UNKNOWN","1984/08/07",3,"South",-1,"M","SHIPWRECK","INDONESIA","ASIA","",NA,"N/A",1
"2756",2889,"1984","07","SPECIE_UNKNOWN","1984/07/24",3,"North",13,"F","SWIMMING","USA","NORTH_AMERICA","Texas",NA,"N/A",0
"2757",2890,"1984","07","SPECIE_UNKNOWN","1984/07/24",3,"North",18,"F","SWIMMING","USA","NORTH_AMERICA","Texas",1.2,"LARGO_1_2",0
"2758",2891,"1984","07","SPECIE_UNKNOWN","1984/07/22",1,"South",21,"M","FISHING","SOUTH_AFRICA","AFRICA","Western Cape Province",NA,"N/A",1
"2759",2892,"1984","07","SPECIE_UNKNOWN","1984/07/01",1,"North",30,"M","FISHING","USA","NORTH_AMERICA","Florida",NA,"N/A",0
"2760",2893,"1984","07","RAGGEDTOOTH_SHARK","",99,"South",-1,"M","FISHING","SOUTH_AFRICA","AFRICA","KwaZulu-Natal",NA,"N/A",0
"2761",2894,"1984","06","WHITE_SHARK","1984/06/15",6,"South",27,"M","SURFING","SOUTH_AFRICA","AFRICA","Western Cape Province",2.4,"LARGO_2_3",0
"2762",2895,"1984","06","HAMMERHEAD_SHARK","1984/06/03",1,"North",13,"F","ACTIVITY_UNKNOWN","USA","NORTH_AMERICA","Hawaii",1.2,"LARGO_1_2",0
"2763",2896,"1984","06","SPECIE_UNKNOWN","1984/06/03",1,"South",20,"M","SWIMMING","VANUATU","OCEANIA","Malampa Province",NA,"N/A",1
"2764",2897,"1984","05","SPECIE_UNKNOWN","1984/05/31",5,"South",28,"M","FISHING","SOUTH_AFRICA","AFRICA","Western Cape Province",NA,"N/A",0
"2765",2898,"1984","03","SPECIE_UNKNOWN","1984/03/17",7,"North",-1,"M","ACTIVITY_UNKNOWN","SOMALIA","AFRICA","",NA,"N/A",1
"2766",2899,"1984","03","SPECIE_UNKNOWN","1984/03/14",4,"South",-1,"M","SURFING","SOUTH_AFRICA","AFRICA","KwaZulu-Natal",NA,"N/A",0
"2767",2900,"1984","03","SPECIE_UNKNOWN","1984/03/10",7,"South",-1,"M","ROWING","SOUTH_AFRICA","AFRICA","Eastern Cape Province",2.5,"LARGO_2_3",0
"2768",2902,"1984","02","RAGGEDTOOTH_SHARK","1984/02/18",7,"South",-1,"M","FISHING","SOUTH_AFRICA","AFRICA","Eastern Cape Province",NA,"N/A",0
"2769",2903,"1984","02","DUSKY_SHARK","1984/02/17",6,"South",33,"M","DIVING","SOUTH_AFRICA","AFRICA","KwaZulu-Natal",1.5,"LARGO_1_2",0
"2770",2904,"1984","02","SPECIE_UNKNOWN","1984/02/12",1,"South",-1,"","ACTIVITY_UNKNOWN","SOUTH_AFRICA","AFRICA","Eastern Cape Province",NA,"N/A",1
"2771",2905,"1984","02","WHITE_SHARK","1984/02/11",7,"South",27,"M","FISHING","AUSTRALIA","OCEANIA","Queensland",1.5,"LARGO_1_2",0
"2772",2906,"1984","01","RAGGEDTOOTH_SHARK","1984/01/05",5,"South",14,"M","SWIMMING","SOUTH_AFRICA","AFRICA","Eastern Cape Province",1,"LARGO_0_1",0
